;SimulationStep;Cycle Step;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;0;0;0;Azenha;Azenha;0;0;0;0;0;0
1;0;0;0;Azenha;Bom Fim;0;0;0;0;0;0
2;0;0;0;Azenha;Centro Histórico;0;0;0;0;0;0
3;0;0;0;Azenha;Cidade Baixa;0;0;0;0;0;0
4;0;0;0;Azenha;Farroupilha;0;0;0;0;0;0
5;0;0;0;Azenha;Floresta;0;0;0;0;0;0
6;0;0;0;Azenha;Independência;0;0;0;0;0;0
7;0;0;0;Azenha;Menino Deus;0;0;0;0;0;0
8;0;0;0;Azenha;Moinhos de Vento;0;0;0;0;0;0
9;0;0;0;Azenha;Praia de Belas;0;0;0;0;0;0
10;0;0;0;Azenha;Rio Branco;0;0;0;0;0;0
11;0;0;0;Azenha;Santa Cecília;0;0;0;0;0;0
12;0;0;0;Azenha;Santana;0;0;0;0;0;0
13;0;0;0;Bom Fim;Azenha;0;0;0;0;0;0
14;0;0;0;Bom Fim;Bom Fim;0;0;0;0;0;0
15;0;0;0;Bom Fim;Centro Histórico;0;0;0;0;0;0
16;0;0;0;Bom Fim;Cidade Baixa;0;0;0;0;0;0
17;0;0;0;Bom Fim;Farroupilha;0;0;0;0;0;0
18;0;0;0;Bom Fim;Floresta;0;0;0;0;0;0
19;0;0;0;Bom Fim;Independência;0;0;0;0;0;0
20;0;0;0;Bom Fim;Menino Deus;0;0;0;0;0;0
21;0;0;0;Bom Fim;Moinhos de Vento;0;0;0;0;0;0
22;0;0;0;Bom Fim;Praia de Belas;0;0;0;0;0;0
23;0;0;0;Bom Fim;Rio Branco;0;0;0;0;0;0
24;0;0;0;Bom Fim;Santa Cecília;0;0;0;0;0;0
25;0;0;0;Bom Fim;Santana;0;0;0;0;0;0
26;0;0;0;Centro Histórico;Azenha;0;0;0;0;0;0
27;0;0;0;Centro Histórico;Bom Fim;0;0;0;0;0;0
28;0;0;0;Centro Histórico;Centro Histórico;0;0;0;0;0;0
29;0;0;0;Centro Histórico;Cidade Baixa;0;0;0;0;0;0
30;0;0;0;Centro Histórico;Farroupilha;0;0;0;0;0;0
31;0;0;0;Centro Histórico;Floresta;0;0;0;0;0;0
