;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;0;Azenha;Azenha;2300;300;726;338;900;1400
1;0;Azenha;Bom Fim;650;0;276;142;100;550
2;0;Azenha;Centro Histórico;1650;100;750;302;200;1450
3;0;Azenha;Cidade Baixa;2450;0;1214;557;150;2300
4;0;Azenha;Farroupilha;950;0;464;241;50;900
5;0;Azenha;Floresta;650;50;199;106;250;400
6;0;Azenha;Independência;350;50;130;62;100;250
7;0;Azenha;Menino Deus;3400;550;1268;663;1000;2400
8;0;Azenha;Moinhos de Vento;250;0;77;40;100;150
9;0;Azenha;Praia de Belas;400;50;131;30;250;150
10;0;Azenha;Rio Branco;600;50;124;70;350;250
11;0;Azenha;Santa Cecília;500;50;184;96;150;350
12;0;Azenha;Santana;3150;700;612;301;2050;1100
13;0;Bom Fim;Azenha;650;0;276;142;100;550
14;0;Bom Fim;Bom Fim;2500;100;1106;620;100;2400
15;0;Bom Fim;Centro Histórico;2150;100;866;395;500;1650
16;0;Bom Fim;Cidade Baixa;1350;200;333;179;700;650
17;0;Bom Fim;Farroupilha;1600;0;631;392;200;1400
18;0;Bom Fim;Floresta;650;50;227;108;200;450
19;0;Bom Fim;Independência;3100;150;1143;623;650;2450
20;0;Bom Fim;Menino Deus;1250;150;384;219;450;800
21;0;Bom Fim;Moinhos de Vento;800;150;212;131;400;400
22;0;Bom Fim;Praia de Belas;400;50;131;83;100;300
23;0;Bom Fim;Rio Branco;4950;350;2270;1086;900;4050
24;0;Bom Fim;Santa Cecília;1050;100;459;226;200;850
25;0;Bom Fim;Santana;750;100;181;85;450;300
26;0;Centro Histórico;Azenha;1650;100;750;302;200;1450
27;0;Centro Histórico;Bom Fim;2150;100;866;395;500;1650
28;0;Centro Histórico;Centro Histórico;10300;2600;764;250;9200;1100
29;0;Centro Histórico;Cidade Baixa;5250;350;1899;849;1650;3600
30;0;Centro Histórico;Farroupilha;800;0;247;121;300;500
31;0;Centro Histórico;Floresta;1850;250;668;257;700;1150
32;0;Centro Histórico;Independência;1400;100;568;251;450;950
33;0;Centro Histórico;Menino Deus;1150;150;404;201;400;750
34;0;Centro Histórico;Moinhos de Vento;1200;50;562;278;150;1050
35;0;Centro Histórico;Praia de Belas;1350;50;659;306;50;1300
36;0;Centro Histórico;Rio Branco;2050;200;676;357;750;1300
37;0;Centro Histórico;Santa Cecília;1400;50;556;205;450;950
38;0;Centro Histórico;Santana;650;150;205;98;250;400
39;0;Cidade Baixa;Azenha;2450;0;1214;557;150;2300
40;0;Cidade Baixa;Bom Fim;1350;200;333;179;700;650
41;0;Cidade Baixa;Centro Histórico;5250;350;1899;849;1650;3600
42;0;Cidade Baixa;Cidade Baixa;6000;900;1400;650;3200;2800
43;0;Cidade Baixa;Farroupilha;2450;100;871;353;850;1600
