scenario;levy;seed;requested_destination;receiving_destination;node_type;reroute_events;requested;fulfilled;unmet;reroute_traveler_distance;mean_reroute_distance_per_traveler;peak_receiving_load
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_10;Azenha//marketplace_13;marketplace;125.0;484.0;484.0;0.0;32812.282164807126;67.79397141489076;6.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_24;Azenha//marketplace_25;marketplace;144.0;571.0;571.0;0.0;137739.23955304342;241.2245876585699;11.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_24;Azenha//marketplace_8;marketplace;37.0;151.0;151.0;0.0;18154.53905885324;120.2287354890943;10.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_26;Azenha//marketplace_10;marketplace;140.0;583.0;583.0;0.0;72820.44962389283;124.90643160187449;17.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_26;Azenha//marketplace_13;marketplace;125.0;508.0;508.0;0.0;76800.9714153483;151.18301459714232;19.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_4;Azenha//marketplace_10;marketplace;34.0;92.0;92.0;0.0;24470.29895589261;265.98151039013703;4.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_4;Azenha//marketplace_24;marketplace;84.0;214.0;214.0;0.0;37199.12628909295;173.82769293968667;4.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_4;Azenha//marketplace_25;marketplace;124.0;318.0;318.0;0.0;97609.44496312624;306.9479401356171;4.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_4;Menino Deus//marketplace_13;marketplace;21.0;52.0;52.0;0.0;9367.960679145794;180.15308998357295;4.0
13_levy_off_flood_both_reroute;False;0;Azenha//marketplace_8;Azenha//marketplace_7;marketplace;137.0;266.0;266.0;0.0;51075.175410294956;192.01193763268782;8.0
13_levy_off_flood_both_reroute;False;0;Azenha//pharmacy_4;Azenha//pharmacy_5;pharmacy;97.0;97.0;97.0;0.0;23192.01808103798;239.09296990760802;1.0
13_levy_off_flood_both_reroute;False;0;Azenha//pharmacy_4;Menino Deus//pharmacy_13;pharmacy;37.0;37.0;37.0;0.0;8204.565104814892;221.74500283283493;1.0
13_levy_off_flood_both_reroute;False;0;Azenha//pharmacy_7;Azenha//pharmacy_9;pharmacy;173.0;176.0;176.0;0.0;33606.83339965789;190.94791704351073;2.0
13_levy_off_flood_both_reroute;False;0;Azenha//restaurant_24;Azenha//restaurant_25;restaurant;93.0;492.0;492.0;0.0;101445.05136735913;206.18912879544538;17.0
13_levy_off_flood_both_reroute;False;0;Azenha//restaurant_26;Azenha//restaurant_27;restaurant;106.0;660.0;660.0;0.0;143721.59938968509;217.75999907528043;18.0
13_levy_off_flood_both_reroute;False;0;Azenha//restaurant_26;Menino Deus//restaurant_13;restaurant;77.0;419.0;419.0;0.0;51656.15750335382;123.28438544953178;9.0
13_levy_off_flood_both_reroute;False;0;Azenha//restaurant_4;Azenha//restaurant_25;restaurant;173.0;634.0;634.0;0.0;126140.49825838355;198.95977643278164;12.0
13_levy_off_flood_both_reroute;False;0;Azenha//restaurant_8;Azenha//restaurant_24;restaurant;80.0;234.0;234.0;0.0;30801.69488872914;131.6311747381587;8.0
13_levy_off_flood_both_reroute;False;0;Azenha//restaurant_8;Azenha//restaurant_9;restaurant;93.0;234.0;234.0;0.0;44761.73806864488;191.28947892583284;5.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//marketplace_52;Centro Histórico//marketplace_53;marketplace;569.0;1288.0;1288.0;0.0;163157.85590960385;126.67535396708374;4.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//marketplace_61;Centro Histórico//marketplace_72;marketplace;179.0;576.0;576.0;0.0;22443.573665411393;38.96453761356145;6.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//marketplace_74;Centro Histórico//marketplace_85;marketplace;124.0;312.0;312.0;0.0;21278.189915627427;68.199326652652;4.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//marketplace_88;Centro Histórico//marketplace_87;marketplace;72.0;197.0;197.0;0.0;22365.03821726476;113.5281127779937;10.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//marketplace_91;Centro Histórico//marketplace_92;marketplace;642.0;1451.0;1451.0;0.0;574888.0550343065;396.2012784523132;4.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//marketplace_93;Centro Histórico//marketplace_51;marketplace;14.0;47.0;47.0;0.0;4457.506313211502;94.84055985556387;10.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//pharmacy_60;Centro Histórico//pharmacy_59;pharmacy;11.0;14.0;14.0;0.0;1718.1911602297148;122.7279400164082;4.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//pharmacy_61;Centro Histórico//pharmacy_73;pharmacy;103.0;116.0;116.0;0.0;19356.813321160116;166.86908035482858;2.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//pharmacy_61;Centro Histórico//pharmacy_74;pharmacy;226.0;259.0;259.0;0.0;14900.947284717977;57.53261499891111;2.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//pharmacy_74;Centro Histórico//pharmacy_75;pharmacy;94.0;94.0;94.0;0.0;13007.581061404808;138.37852192983837;1.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//pharmacy_91;Centro Histórico//pharmacy_92;pharmacy;404.0;404.0;404.0;0.0;102233.09715564104;253.0522206822798;1.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//pharmacy_93;Centro Histórico//pharmacy_50;pharmacy;11.0;11.0;11.0;0.0;1180.1092723667361;107.28266112424875;2.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//restaurant_52;Centro Histórico//restaurant_90;restaurant;74.0;216.0;216.0;0.0;30067.74571984058;139.20252648074342;5.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//restaurant_60;Centro Histórico//restaurant_52;restaurant;99.0;612.0;612.0;0.0;50281.20517664133;82.15883198797603;28.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//restaurant_60;Centro Histórico//restaurant_90;restaurant;74.0;392.0;392.0;0.0;53612.51276130669;136.76661418700687;14.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//restaurant_61;Centro Histórico//restaurant_85;restaurant;213.0;966.0;966.0;0.0;117888.53729512873;122.03782328688274;14.0
13_levy_off_flood_both_reroute;False;0;Centro Histórico//restaurant_75;Centro Histórico//restaurant_85;restaurant;10.0;40.0;40.0;0.0;2878.8114432773177;71.97028608193294;12.0
