"node_name","lat","long","water_level"
"Aberta dos Morros//home_0",-30.15485292926048,-51.20812446292959,""
"Aberta dos Morros//work_0",-30.150655981583697,-51.203763652437566,""
"Aberta dos Morros//school_0",-30.156642932693444,-51.20673627003515,""
"Aberta dos Morros//home_1",-30.153026852752188,-51.201113548951234,""
"Aberta dos Morros//work_1",-30.153738907106906,-51.20511897140919,""
"Aberta dos Morros//school_1",-30.15223389964839,-51.20162191960295,""
"Aberta dos Morros//home_2",-30.155629344582195,-51.20613509626152,""
"Aberta dos Morros//work_2",-30.15530167060477,-51.20181902802901,""
"Aberta dos Morros//school_2",-30.155887634726334,-51.20396222519724,""
"Aberta dos Morros//home_3",-30.154327925730247,-51.2026243566697,""
"Aberta dos Morros//work_3",-30.15430032872117,-51.20168004249269,""
"Aberta dos Morros//school_3",-30.15437469126779,-51.20219590939113,""
"Aberta dos Morros//home_4",-30.15586758467885,-51.19955831068078,""
"Aberta dos Morros//work_4",-30.15598859266465,-51.198418239717434,""
"Aberta dos Morros//school_4",-30.155999561182135,-51.19837864832993,""
"Aberta dos Morros//home_5",-30.15811677371692,-51.19858938968048,""
"Aberta dos Morros//work_5",-30.157926604678483,-51.20021050746438,""
"Aberta dos Morros//school_5",-30.15819349870188,-51.194963296316786,""
"Aberta dos Morros//home_6",-30.161235690861677,-51.1967111156982,""
"Aberta dos Morros//work_6",-30.16066039396153,-51.20025375779907,""
"Aberta dos Morros//school_6",-30.16114969776428,-51.19903145246823,""
"Aberta dos Morros//home_7",-30.159044498038593,-51.20218646247404,""
"Aberta dos Morros//work_7",-30.164599094193296,-51.206424129752,""
"Aberta dos Morros//school_7",-30.158655040716216,-51.20232991001423,""
"Aberta dos Morros//home_8",-30.168801671332083,-51.20140058443959,""
"Aberta dos Morros//work_8",-30.159844277195262,-51.192505397731765,""
"Aberta dos Morros//school_8",-30.169546746795927,-51.198137417786505,""
"Aberta dos Morros//home_9",-30.16181961580389,-51.1983722586973,""
"Aberta dos Morros//work_9",-30.163626541297173,-51.201289402559084,""
"Aberta dos Morros//school_9",-30.16183825952671,-51.198132983494325,""
"Aberta dos Morros//home_10",-30.146903923264627,-51.20026424007765,""
"Aberta dos Morros//work_10",-30.14653160570723,-51.19855947536514,""
"Aberta dos Morros//school_10",-30.146658806803195,-51.19629584411415,""
"Aberta dos Morros//home_11",-30.152516892630267,-51.19484825362211,""
"Aberta dos Morros//work_11",-30.15579646164555,-51.19763137115594,""
"Aberta dos Morros//school_11",-30.15637084061908,-51.19299779258595,""
"Agronomia//home_0",-30.067372845931146,-51.15024193499512,""
"Agronomia//work_0",-30.06857755298827,-51.14634721178813,""
"Agronomia//school_0",-30.06774192982091,-51.149850083355815,""
"Agronomia//home_1",-30.071401390292497,-51.14424746268821,""
"Agronomia//work_1",-30.07151574392595,-51.14407566945049,""
"Agronomia//school_1",-30.071823385129687,-51.14365385871536,""
"Agronomia//home_2",-30.065929526215935,-51.149975079237116,""
"Agronomia//work_2",-30.06842956021061,-51.14539896245738,""
"Agronomia//school_2",-30.06509113198968,-51.15049480250264,""
"Agronomia//home_3",-30.07652153541582,-51.154045581555565,""
"Agronomia//work_3",-30.077024288453767,-51.15239476202642,""
"Agronomia//school_3",-30.079376554685638,-51.15598355542132,""
"Agronomia//home_4",-30.07088299989515,-51.1479444891606,""
"Agronomia//work_4",-30.070102810382856,-51.14758949118802,""
"Agronomia//school_4",-30.070470015340746,-51.149107091024085,""
"Agronomia//home_5",-30.08627225291279,-51.14193534375027,""
"Agronomia//work_5",-30.077311676755404,-51.14622818908549,""
"Agronomia//school_5",-30.077703991357293,-51.14378522928814,""
